ID	Score  
Q9BQ66	105.0
P18754	105.0
Q9Y224	105.0
Q9Y2J4	105.0
Q15942	105.0
P30519	105.0
O60674	105.0
Q8N4V1	105.0
Q9Y678	104.0
Q96QK1	104.0
P08195	104.0
P24863	104.0
Q15125	104.0
P19105	104.0
Q9BYM8	104.0
Q05519	104.0
Q5VWX1	104.0
Q9NYJ8	104.0
O60566	104.0
Q9H0E2	104.0
Q99575	104.0
P49815	104.0
Q9HAU4	104.0
P24534	104.0
P62987	104.0
Q13085	104.0
P49756	104.0
Q01664	103.0
Q8WUI4	103.0
Q8TAT6	103.0
O00483	103.0
Q8N3Y1	103.0
Q16790	103.0
P82912	103.0
P17066	103.0
P08727	103.0
P57740	103.0
P42336	103.0
Q13123	103.0
P49761	103.0
P22392	102.0
Q9Y6C9	102.0
Q9Y2K6	102.0
Q99683	102.0
Q5VTD9	102.0
O14933	102.0
Q96EV8	102.0
O43597	102.0
P08579	102.0
Q9UN86	102.0
Q9BV68	102.0
Q96HB5	102.0
Q9BZK7	102.0
O15400	102.0
Q9Y262	102.0
Q9Y2J2	102.0
O95347	102.0
Q9Y597	101.0
Q9Y3Z3	101.0
Q5BJF6	101.0
Q92974	101.0
Q9H8W4	101.0
Q96ED9	101.0
Q05655	101.0
Q9NZD8	101.0
P60981	101.0
O95229	101.0
P45974	101.0
P08754	101.0
Q15293	101.0
O00505	101.0
P02511	101.0
O75083	101.0
Q9HAV7	101.0
Q13247	101.0
Q9C0F1	101.0
P54105	101.0
P07951	101.0
Q15646	101.0
P42574	100.0
Q9Y2R9	100.0
P01023	100.0
Q5JVS0	100.0
Q9BXS5	100.0
P08243	100.0
P16871	100.0
P84996	100.0
P10644	100.0
Q14194	100.0
P06454	100.0
P30084	100.0
P20674	100.0
P51571	100.0
Q96FV9	100.0
Q99523	100.0
Q99436	100.0
Q9UKX7	99.0
Q92522	99.0
P46459	99.0
Q86VP1	99.0
P11473	99.0
Q12789	99.0
Q8TAE8	99.0
Q16082	99.0
Q9NYA4	99.0
P47914	99.0
O60563	99.0
O76021	99.0
Q6NUQ1	99.0
Q13242	99.0
P49760	99.0
Q9NQG5	99.0
Q9UKL0	98.0
Q99996	98.0
Q8WXI9	98.0
Q9Y570	98.0
Q9Y5K6	98.0
Q5VTR2	98.0
O75323	98.0
P36894	98.0
Q14764	98.0
Q15019	98.0
O00257	98.0
Q15437	98.0
P30044	98.0
P82673	98.0
P43034	98.0
P48039	98.0
Q9P0M6	98.0
Q9BQ95	98.0
P35221	98.0
Q13011	98.0
P49715	98.0
Q96A08	97.0
Q9NWU5	97.0
P35638	97.0
Q01780	97.0
Q9NW13	97.0
Q9UHI6	97.0
P53999	97.0
P21246	97.0
P46527	97.0
Q9BVJ7	97.0
P21912	97.0
Q96MU7	97.0
P35251	97.0
Q6PIJ6	97.0
